id,character,cloth,class,rank,affiliation,scheme,artist,constellation,evilStar
233,206,307,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fscutum-jan.jpg?alt=media&token=4b064598-c951-4a0e-8007-2a7b743b056b,5,,
234,207,388,22,4,14,,,,
235,208,386,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Flynx-jao.jpg?alt=media&token=3df7928c-6747-4a0b-a886-b1c0b84318c0,5,,
236,210,393,22,4,14,,,,
237,211,82,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fcorvus-johann.jpg?alt=media&token=f3c73762-8d7e-4df7-96af-a5fc7a0cc7c8,,,
238,212,307,22,6,14,,,,
239,213,376,22,4,14,,,,
241,215,70,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fchamaeleon-june.jpg?alt=media&token=abb8e39f-b80a-4dff-9206-85a25e4e2002,1,,
242,216,384,22,5,14,,,,
246,220,189,22,7,14,,,,
247,221,148,22,7,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fgemini-saga.jpg?alt=media&token=da811d72-4f30-4e9e-bf06-b2d798b298d2,1,,
249,223,305,22,7,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fscorpio-milo.jpg?alt=media&token=fda28bd2-0ca0-46f9-ba86-2c09a7febd2a,1,,
251,225,81,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fcorona-borealis-katya.png?alt=media&token=92d30674-88cd-4ce8-84d7-6b057e21e4d9,4,,
252,226,86,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fcrux-kazuma.jpg?alt=media&token=eabb7cbf-ef36-494e-b3b7-63287114bf75,,,
253,227,391,22,4,14,,,,
255,229,39,22,3,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fkelly.png?alt=media&token=9a2a8ee4-1931-41d2-9aba-6fd17ae40854,11,,
256,230,26,22,7,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Faries-kiki.jpg?alt=media&token=9130aa31-880b-4c7c-a601-9e99c4e27e6e,5,,
257,231,133,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fequuleus-kitalpha.jpg?alt=media&token=26cedfe0-2355-4255-8492-fa5c0594a25a,5,,
259,233,157,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fgrus-komachi.jpg?alt=media&token=17350980-b72b-465f-ba98-3dab2b37edd1,6,,
260,234,268,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fpegasus-kouga-1.jpg?alt=media&token=5626bbb5-1684-424c-91a9-5822c583710f,5,,
261,234,269,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fpegasus-kouga-2.jpg?alt=media&token=a708bd16-c290-43ed-8aaf-afbcb78064ba,5,,
262,234,270,22,9,14,,,,
263,234,271,22,9,14,,,,
264,235,18,22,7,14,,,,
268,238,132,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fequuleus-kyoko.jpg?alt=media&token=5005ebd9-3967-4f2a-9c1c-8a0d09d43fdd,4,,
269,239,291,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fpuppis-lacaille.png?alt=media&token=46347a4f-378f-4a50-817f-0e05f7d7d398,5,,
274,243,55,22,7,14,,,,
275,243,56,22,9,14,,,,
278,247,,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fleda.jpg?alt=media&token=a702c389-fd97-4b02-a2b6-7b57963a3658,,,
279,249,,22,2,14,,,,
280,250,382,22,4,14,,,,
285,256,243,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fnorma-luciano.jpg?alt=media&token=79f1a9a8-95a7-444e-a593-3c98c60d3e86,6,,
289,260,284,22,7,14,,,,
292,263,55,22,7,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fcancer-deathmask.jpg?alt=media&token=3f6391c1-fb0f-452a-bf16-80fd79f3d895,1,,
295,266,20,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Faquila-marin.jpg?alt=media&token=466dc444-4a88-42ab-a32a-0c2f2c61dbb4,1,,
298,269,301,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fsagitta-maya.jpg?alt=media&token=0632d9c8-35f7-4721-8665-8c7e0a9367a0,5,,
299,270,259,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fpavo-mayura.jpg?alt=media&token=d74d09b0-41b7-46c8-985b-6d7f0885373d,4,,
301,272,78,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fcoma-berenice-mei.jpg?alt=media&token=524b686d-f803-427a-b73d-ac13cb334d76,5,,
302,273,67,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fcetus-menkar.jpg?alt=media&token=38a0423f-ed0c-4f99-bd1b-57b5c8fe6b94,,,
304,275,52,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fcaelum-michelangelo.jpg?alt=media&token=06bf3415-483f-4732-9467-23e6f6ec8203,,,
305,276,57,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fcanes-venatici-miguel.jpg?alt=media&token=c3b31d4c-f241-458b-af5c-fa6541f2c934,6,,
309,279,305,22,7,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fscorpio-milo.jpg?alt=media&token=fda28bd2-0ca0-46f9-ba86-2c09a7febd2a,1,,
310,279,306,22,9,14,,,,
312,281,,22,2,14,,,,
315,284,,22,2,14,,,,
316,285,387,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Flynx-mirapolos.jpg?alt=media&token=39d8b27e-9e31-408f-bc54-4495c33e2202,,,
317,286,273,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fperseus-mirfak.jpg?alt=media&token=5a63d3f0-53fd-44c3-8450-f81d7503df11,,,
318,287,186,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Flacerta-misty.jpg?alt=media&token=1d3a09de-dfb6-49b1-8391-e4749915f455,1,,
319,288,,22,2,14,,,,
325,295,67,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fcetus-moses.jpg?alt=media&token=5dd29121-4c0e-4c83-8910-ebf46112a01c,1,,
326,296,26,22,7,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Faries-mu.jpg?alt=media&token=a4cee8ba-499d-4fed-9372-1ca5ebbe0482,1,,
327,296,27,22,9,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Faries-mu-god.png?alt=media&token=b1d8231b-7ecc-42e2-af1d-1a3d3c97e5a0,5,,
329,298,189,22,7,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fleo-mycenae.jpg?alt=media&token=7bd4003a-a483-4fe9-a1ef-a723f3523014,5,,
330,299,18,22,7,14,,,,
332,301,384,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Flupus-nachi.jpg?alt=media&token=1198861a-723d-4607-b82a-a8b4e031b729,1,,
334,303,6,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fara-nicole.jpg?alt=media&token=26497e47-4d96-4c19-adb9-43274df41e43,5,,
336,305,344,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Ftriangulum-noesis.jpg?alt=media&token=c6af0e4e-eb33-446c-8584-1c51dbfe03b8,,,
339,312,249,22,6,14,,,,
340,312,250,22,7,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fophiuchus-odysseus.jpg?alt=media&token=3c202d8a-3a9b-4e41-bf6f-e06338f53f58,1,,
342,314,,22,2,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fohko.jpg?alt=media&token=dca45959-9bc4-4cd6-8569-d22150e14e85,,89,
345,317,207,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Flyra-orphee.jpg?alt=media&token=c790c533-87c9-4b90-a2de-049061d38bdd,1,,
346,318,207,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Flyra-orpheus.jpg?alt=media&token=5e043050-f78d-475a-acb7-924644b554e2,5,,
348,320,336,22,7,14,,,,
349,321,,22,2,14,,,,
354,327,17,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fapus-paradise.png?alt=media&token=9a419052-5352-4c59-a7fb-6047822cf728,,,
355,328,148,22,7,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fgemini-paradox.jpg?alt=media&token=9e92b910-6697-4965-9289-cf1d30034466,5,,
357,329,242,22,,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fnoctua-partita.jpg?alt=media&token=bb76742a-e349-496a-8cfc-1e6cfca24d44,3,,
359,331,,22,,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fphaeton.png?alt=media&token=c937524a-ce7a-49c4-98cb-f2df21fb3434,,,
368,340,258,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fpavo-pavlin.jpg?alt=media&token=ce981236-dce7-43a0-a107-b7fafe182a06,5,,
372,344,301,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fsagitta-ptolemy.jpg?alt=media&token=798e8968-bb0a-4f6d-928a-dffe0830fc97,1,,
379,351,null,22,2,14,,,,
380,353,189,22,7,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fleo-aiolia.jpg?alt=media&token=95b5ccea-5597-4ef2-b84e-2d748699b0c0,1,,
381,354,385,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Flynx-retsu.jpg?alt=media&token=dcc5f86f-9748-495f-a574-3650da1ef95a,5,,
386,359,252,22,6,14,,,,
388,360,392,22,4,14,,,,
390,362,261,22,5,14,,,,
393,365,295,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Frangifer-rudolph.jpg?alt=media&token=52803a9a-d592-413b-9bf6-6bb6ab965a9a,6,,
395,367,375,22,4,14,,,,
396,368,293,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fpyxi-rusk.png?alt=media&token=adb93460-25f6-4668-87ac-076670048c46,5,,
397,369,113,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fdraco-ryuho-1.jpg?alt=media&token=00c2553b-686a-4466-bfdb-bb59e301ae8b,5,,
398,369,115,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fdraco-ryuho-2.jpg?alt=media&token=fe6c702f-c0b3-4e0b-83a1-c88c828f423c,5,,
399,369,119,22,9,14,,,,
401,370,148,22,7,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fgemini-saga.jpg?alt=media&token=da811d72-4f30-4e9e-bf06-b2d798b298d2,1,,
402,370,149,22,9,14,,,,
403,371,55,22,7,14,,,,
404,372,null,22,2,14,,,,
405,373,null,22,2,14,,,,
406,374,30,22,9,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fathena-saori.jpg?alt=media&token=21abdb2d-82c1-4c18-8f53-369fe24164b7,1,,
407,375,30,22,9,14,,,,
408,377,55,22,7,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fcancer-schiller.jpg?alt=media&token=9b77a862-3777-4f1b-9c09-c99ef53d45bf,5,,
410,379,260,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fpegasus-seiya-1.png?alt=media&token=ab7a7436-914d-45c6-931a-cf53f9a74bff,1,,
411,379,261,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fpegasus-seiya-1.png?alt=media&token=ab7a7436-914d-45c6-931a-cf53f9a74bff,1,,
412,379,262,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fpegasus-seiya-2.jpg?alt=media&token=1ffb7044-5b35-457b-a0e0-f057d98ea2dd,1,,
413,379,263,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fpegasus-seiya-3.jpg?alt=media&token=1d5c16a8-dc18-4c10-abe7-4a47d7e88f87,1,,
414,379,264,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fpegasus-seiya-4.jpg?alt=media&token=84aa5bff-d75c-499f-a3a3-78427fe1b48b,1,,
415,379,265,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fpegasus-seiya-5.jpg?alt=media&token=e2b0d081-9e0d-4f03-801f-1b39410a2a16,1,,
416,379,266,22,9,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fpegasus-seiya-god.jpg?alt=media&token=cc5cd140-0397-4fa1-a49b-be7c87b26ec5,1,,
417,379,267,22,,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fpegasus-seiya-miracles.jpg?alt=media&token=31550be1-dd01-4e00-b0f0-ee9e2faec693,5,,
419,379,369,22,7,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fsagittarius-seiya-1.jpg?alt=media&token=a76a9123-2dfc-4fe1-8296-7640a69c6f7f,5,,
420,379,370,22,7,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fsagittarius-seiya-2.jpg?alt=media&token=a3de3192-df0d-4f0d-9e44-15b05af07af9,5,,
422,381,356,22,7,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fvirgo-shaka.jpg?alt=media&token=9ba9e0df-8a93-4dff-a5af-ff67f495aa97,1,,
423,381,357,22,9,14,,,,
424,382,301,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fsagitta-sham.jpg?alt=media&token=ba63c855-a47c-4e10-b673-61398f448411,,,
426,384,null,22,,14,,,,
427,385,356,22,7,14,,,,
428,386,249,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fophiuchus-shaina.jpg?alt=media&token=7e7e4870-1b15-4a30-bce0-f30828490d20,1,,
429,387,380,22,4,14,,,,
430,388,null,22,2,14,,,,
431,389,26,22,7,14,,,,
432,390,111,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fdraco-shiryu-1.jpg?alt=media&token=8b135fbb-19b2-485b-b636-52d60bc834b6,1,,
433,390,112,22,5,14,,,,
434,390,114,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fdraco-shiryu-2.jpg?alt=media&token=29ee4346-5fa6-4a96-adbd-dc8c9e49638c,1,,
435,390,116,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fdraco-shiryu-3.jpg?alt=media&token=94dc569c-6d44-44ea-82f2-135a1d989abe,1,,
436,390,117,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fdraco-shiryu-4.jpg?alt=media&token=c5c32e84-534a-441e-9fdc-d0b68a5adf60,1,,
437,390,118,22,9,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fdraco-shiryu-god.jpg?alt=media&token=63f26d8c-22a4-4ac0-a93c-cfd4cef40982,1,,
438,390,197,22,7,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Flibra-shiryu.jpg?alt=media&token=29a59c53-3104-4cbd-8be0-9af658c35da5,5,,
439,391,258,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fpavo-shiva.jpg?alt=media&token=fe374bd4-292b-4587-a7e9-0ccca4adea9b,,,
440,392,318,22,3,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fsky-sho.png?alt=media&token=856c0585-acea-48ac-ab6e-05c495f9f0bb,11,,
441,393,,22,1,14,,,,
442,394,132,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fequuleus-shoko.png?alt=media&token=4104597e-f66c-4fb8-9f7d-51240e06e575,5,,
443,395,8,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fandromeda-shun-1.jpg?alt=media&token=8fe02a4d-1148-44b9-8f26-eb98bc3b360d,1,,
444,395,9,22,5,14,,,,
445,395,10,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fandromeda-shun-2.jpg?alt=media&token=84f45814-7b14-4eff-9911-71475ad9b16e,1,,
446,395,11,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fandromeda-shun-3.jpg?alt=media&token=d8efab88-16b9-4678-a91e-db368bcdaa71,1,,
447,395,12,22,9,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fandromeda-shun-god.jpg?alt=media&token=4b0a5f00-d43c-40d4-bd7e-112474bd0836,1,,
448,395,356,22,7,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fcapricorn-shura.jpg?alt=media&token=b923e33e-3da0-4111-81ad-adfed479bbbd,1,,
450,396,59,22,9,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fcapricornus-shura.jpg?alt=media&token=6c0ef93b-91a8-451a-be5e-3d288d423fc9,1,,
451,396,60,22,9,14,,,,
456,401,58,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fcanis-major-sirius.jpg?alt=media&token=8f81ee9a-44ad-4c4c-a37c-44f1ec2e5537,1,,
457,402,302,22,7,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fsagittarius-aiolos.jpg?alt=media&token=968a4b33-f4f0-496a-883d-5ccba20f6d7d,1,,
459,403,305,22,7,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fscorpio-sonia.jpg?alt=media&token=1493ff62-6341-4e12-827e-1477f21a5e8e,5,,
462,406,192,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fleo-minor-souma-1.jpg?alt=media&token=57614339-9ecd-4d61-bf20-a20f971d42a1,5,,
463,406,193,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fleo-minor-souma-2.jpg?alt=media&token=ae66cf6d-4595-47c6-b4ed-bdee75dc957c,5,,
464,406,194,22,9,14,,,,
465,407,,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fspartan.jpg?alt=media&token=c51877a4-bc56-4c9d-bd56-452cbfb0d54d,,,
467,409,110,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fdorado-spear.jpg?alt=media&token=d4bf5a17-2c09-4561-9e3e-7eea1c2093e3,6,,
468,410,,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fspica.jpg?alt=media&token=febb4dfd-4069-4039-8e45-ea6d2cad3ef7,5,,
471,413,39,22,3,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fequuleus-subaru-steel.jpg?alt=media&token=a7b42126-54a3-4d0a-915e-e1b6138ebe70,11,,
472,413,134,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fequuleus-subaru.jpg?alt=media&token=bdf21834-bb2e-40d0-8877-5786a9881331,5,,
474,414,84,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fcrater-suikyo.jpg?alt=media&token=8190519e-b2f6-46f6-8f32-086630d885f4,1,,
483,423,336,22,7,14,,,,
484,424,261,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fpegasus-seiya-1.png?alt=media&token=ba95c34a-a330-4edf-8e65-eb0537ba6fcf,1,,
485,424,266,22,9,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fpegasus-seiya-god.jpg?alt=media&token=a60b0340-1e64-4e9f-8a30-04fd42cd81f2,1,,
486,425,,22,2,14,,,,
497,436,166,8,49,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/eris-dryads%2Fhope-toki.png?alt=media&token=64f385ac-d2d5-45da-8e4d-616a733c0fa9,,,
498,437,18,22,9,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Faquarius-tokisada.jpg?alt=media&token=f17f5684-ba77-40c6-8fe1-a35a1b6c88b8,5,,
500,437,168,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fhorologium-tokisada.jpg?alt=media&token=8c6b0197-b3f5-4517-bae8-1a31249c26f5,,,
504,440,30,22,9,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fathena-tomoe.jpg?alt=media&token=0ecffd65-ed2e-4498-8bfa-8cf591dc4a80,2,,
507,443,355,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fvela-tsubaki.png?alt=media&token=1bafb4fa-937f-4ac4-8de9-21b8dcc53af3,5,,
512,448,214,22,3,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fmarine-ushio.png?alt=media&token=f712823d-56d6-4765-ad26-ca1a127983e9,11,,
522,459,352,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fursa-minor-xiaoling.png?alt=media&token=1b6d256e-aac4-4460-8ed1-2c6ad290c67c,4,,
523,460,228,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fmonoceros-yato.jpg?alt=media&token=a3f6d44a-8ade-4972-a4d8-437b741503fb,3,,
527,465,30,22,9,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fathena-yoshino.png?alt=media&token=8285070a-28de-42e9-9a51-7af4e51bc867,2,,
528,466,203,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Flupus-yoshitomi.jpg?alt=media&token=1ed9b746-4710-4480-9015-f4607c175024,,,
530,468,314,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fsextans-yulij.png?alt=media&token=68612775-b162-4ac4-b04d-2dc4bcbc23dd,5,,
531,469,21,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Faquila-yuna-1.jpg?alt=media&token=6f85cc4d-d98b-46bd-bb57-afe769dd67e7,5,,
532,469,22,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Faquila-yuna-2.jpg?alt=media&token=646c7c30-8d46-47b0-a45a-28b355d149cb,5,,
533,469,23,22,9,14,,,,
534,470,157,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fgrus-yuzuriha.jpg?alt=media&token=4d34d5fc-ee82-4b8e-bcfe-31ce323e8d43,3,,
535,471,305,22,7,14,,,,
539,476,65,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fcepheus-daidalos.jpg?alt=media&token=15f40119-c024-413a-8a0b-906bae2236d8,1,,
540,477,378,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fcepheus-albior.jpg?alt=media&token=b3a0bb05-d0f5-48d1-94a7-cbe48120fb5d,5,,
552,,31,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fatrium-cloth.png?alt=media&token=0426fd81-8c4b-4173-9a1a-a11b6a32bf68,,,
553,,62,22,6,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fcassiopeia-cloth.png?alt=media&token=9338e395-6505-4be1-80f9-269b528b7060,,,
554,,79,22,5,14,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/athena-saints%2Fcorona-australis.jpg?alt=media&token=28f5be61-648b-450b-a591-0fb7898e170f,,,
