id,name,meaning,association,illustration
evil-star-58,Terrestrial Minute Star,Diwei,Wang Ying,
evil-star-59,Terrestrial Bright Star,Dihui,Hu Sanniang,
evil-star-60,Terrestrial Savage Star,Dibao,Bao Xu,
evil-star-61,Terrestrial Correct Star,Diran,Fan Rui,
evil-star-62,Terrestrial Wild Star,Dichang,Kong Ming,
evil-star-63,Terrestrial Crazy Star,Dikuang,Kong Liang,
evil-star-64,Terrestrial Flying Star,Difei,Xiang Chong,
evil-star-65,Terrestrial Walking Star,Dizou,Li Gun,
evil-star-66,Terrestrial Skilful Star,Diqiao,Jin Dajian,
evil-star-67,Terrestrial Bright Star,Diming,Ma Lin,
evil-star-68,Terrestrial Forward Star,Dijin,Tong Wei,
evil-star-69,Terrestrial Retreating Star,Ditui,Tong Meng,
evil-star-70,Terrestrial Full Star,Diman,Meng Kang,
evil-star-71,Terrestrial Succeed Star,Disui,Hou Jian,
evil-star-72,Terrestrial Complete Star,Dizhou,Chen Da,
evil-star-73,Terrestrial Latent Star,Diyin,Yang Chun,
evil-star-74,Terrestrial Different Star,Diyi,Zheng Tianshou,
evil-star-75,Terrestrial Manage Star,Dili,Tao Zongwang,
evil-star-76,Terrestrial Handsome Star,Dijun,Song Qing,
evil-star-77,Terrestrial Music Star,Diyue,Yue He,
evil-star-78,Terrestrial Victorious Star,Dijie,Gong Wang,
evil-star-79,Terrestrial Speed Star,Disu,Ding Desun,
evil-star-80,Terrestrial Guardian Star,Dizhen,Mu Chun,
evil-star-81,Terrestrial Ji Star,Diji,Cao Zheng,
evil-star-82,Terrestrial Devil Star,Dimo,Song Wan,
evil-star-83,Terrestrial Demon Star,Diyao,Du Qian,
evil-star-84,Terrestrial Tranquil Star,Diyou,Xue Yong,
evil-star-85,Terrestrial Concealment Star,Difu,Shi En,
evil-star-86,Terrestrial Remote Star,Dipi,Li Zhong,
evil-star-87,Terrestrial Empty Star,Dikong,Zhou Tong,
evil-star-88,Terrestrial Solitary Star,Digu,Tang Long,
evil-star-89,Terrestrial Complete Star,Diquan,Du Xing,
evil-star-90,Terrestrial Short Star,Diduan,Zou Yuan,
evil-star-91,Terrestrial Horn Star,Dijiao,Zou Run,
evil-star-92,Terrestrial Prisoner Star,Diqiu,Zhu Gui,
evil-star-93,Terrestrial Hidden Star,Dicang,Zhu Fu,
evil-star-94,Terrestrial Level Star,Diping,Cai Fu,
evil-star-95,Terrestrial Harm Star,Disun,Cai Qing,
evil-star-96,Terrestrial Slave Star,Dinu,Li Li,
evil-star-97,Terrestrial Detective Star,Dicha,Li Yun,
evil-star-98,Terrestrial Evil Star,Di'e,Jiao Ting,
evil-star-99,Terrestrial Ugly Star,Dichou,Shi Yong,
evil-star-100,Terrestrial Number Star,Dishu,Sun Xin,
evil-star-101,Terrestrial Yin Star,Diyin,Gu Dasao,
evil-star-102,Terrestrial Execute Star,Dixing,Zhang Qing,
evil-star-103,Terrestrial Strong Star,Dizhuang,Sun Erniang,
evil-star-104,Terrestrial Inferior Star,Dilie,Wang Dingliu,
evil-star-105,Terrestrial Healthy Star,Dijian,Yu Baosi,
evil-star-106,Terrestrial Rat Star,Dihao,Bai Sheng,
evil-star-107,Terrestrial Thief Star,Dizei,Shi Qian,
evil-star-108,Terrestrial Hound Star,Digou,Duan Jingzhu,
evil-star-109,Celestial The Beast Star,Chiju,Huangfu Duan,
evil-star-110,Celestial The Devil Star,Chima,Song Wan,
evil-star-111,Celestial The Ugly Star,Chishuu,Shi Yong,
evil-star-112,Celestial The Shadowy Star,Chiin,Gu Dasao,
evil-star-113,Celestial The Corner Star,Chikaku,Zou Run,
evil-star-114,Celestial The Clever Star,Chirei,An Daoquan,
ursa-major-1,Alpha Star,,,
ursa-major-2,Beta Star,,,
ursa-major-3,Gamma Star,,,
ursa-major-4,Delta Star,,,
ursa-major-5,Epsilon Star,,,
ursa-major-6,Zeta Star,,,
ursa-major-7,Eta Star,,,
sacred-sword-1,Indestructible,,,
sacred-sword-2,Anger,,,
sacred-sword-3,Betrayal,,,
ares-legion-1,Disaster,,,
ares-legion-2,Fear,,,
ares-legion-3,Fire,,,
ares-legion-4,Flame,,,
